,,,,,,,,
,,,@trev_barry's tweets,Exported on 12 Mar 2018 - 3:13 PM (GMT-7) with http://www.twitonomy.com,,,,
,,,,,,,,
Date (GMT),Handle,Name,Text,URL,Platform,Type,Retweet count,Favorite count
12/03/2018 14:44:02,@trev_barry,Trevor Franklin,Now that's what I call EDGY https://t.co/QmWSoCL205,https://twitter.com/trev_barry/status/973207998079361024,Twitter for Android,New,0.00,2.00
11/03/2018 18:04:53,@trev_barry,Trevor Franklin,"Tyga: Rack city bitch, rack rack city bitch
Ten, ten, ten, twenties and them fifties bitch

13 year old me: https://t.co/Gp2jQ5zCCY",https://twitter.com/trev_barry/status/972896156261978118,Twitter for Android,New,3.00,17.00
09/03/2018 22:31:16,@trev_barry,Trevor Franklin,@mlev28 @jennykise ¿Por que no los dos?,https://twitter.com/trev_barry/status/972238417810554881,Twitter for Android,Reply (native),0.00,3.00
09/03/2018 22:04:28,@trev_barry,Trevor Franklin,Can't wait to come back after spring break repping my new gear https://t.co/2M0xUjQtIB,https://twitter.com/trev_barry/status/972231671964676096,Twitter for Android,New,0.00,10.00
09/03/2018 21:22:05,@trev_barry,Trevor Franklin,@jennykise @mlev28,https://twitter.com/trev_barry/status/972221006088679424,Twitter for Android,Reply (native),0.00,1.00
08/03/2018 14:14:06,@trev_barry,Trevor Franklin,How your Mom looks at you when you start to eat your food before you say grace https://t.co/OgJqMSLU1n,https://twitter.com/trev_barry/status/971750911805665281,Twitter for Android,New,0.00,1.00
08/03/2018 2:11:20,@trev_barry,Trevor Franklin,@Nickkkkowaaasss But honestly it's a classic and I'm unmoved,https://twitter.com/trev_barry/status/971569022008512512,Twitter for Android,Reply (native),0.00,1.00
07/03/2018 18:52:02,@trev_barry,Trevor Franklin,Quick hide this fish before Kylie Jenner finds it https://t.co/FmV1eqUXHI,https://twitter.com/trev_barry/status/971458469155999744,Twitter for Android,New,0.00,10.00
07/03/2018 18:15:19,@trev_barry,Trevor Franklin,Got to work and haven't seen my boss yet. I think he's playing hard to get,https://twitter.com/trev_barry/status/971449227850240008,Twitter for Android,Reply (native),0.00,8.00
07/03/2018 17:51:30,@trev_barry,Trevor Franklin,"Woke up to answer my cell phone with ""morning honey"" to which my boss responded ""you coming to work?"" So yes I've decided to move to China",https://twitter.com/trev_barry/status/971443234504405002,Twitter for Android,New,1.00,24.00
06/03/2018 17:14:06,@trev_barry,Trevor Franklin,@MyiaHall I've been cloocked lol,https://twitter.com/trev_barry/status/971071433676910592,Twitter for Android,Reply (native),0.00,2.00
02/03/2018 23:42:51,@trev_barry,Trevor Franklin,Do you ever just reminisce over good food you've eaten and just.... https://t.co/tEv23IuPxM,https://twitter.com/trev_barry/status/969719715139608579,Twitter for Android,New,2.00,8.00
02/03/2018 15:20:06,@trev_barry,Trevor Franklin,"RT @MollDoll_24: If you were butter where would you spread yourself? 
-astro conversations",https://twitter.com/trev_barry/status/969593194982858754,Twitter for Android,Retweet (native),1.00,1.00
02/03/2018 3:58:55,@trev_barry,Trevor Franklin,"RT @baileyeacosta: I'm doing an experiment for an essay I have to write!! 

If you're in college, and you're attending because you want to…",https://twitter.com/trev_barry/status/969421768934019073,Twitter for Android,Retweet (native),"101,235.00","35,809.00"
25/02/2018 19:50:16,@trev_barry,Trevor Franklin,RT @MyiaHall: I love these people 💚 (there's a couple missing but I love them too) https://t.co/DtIt5Lzlde,https://twitter.com/trev_barry/status/967849247033970689,Twitter for Android,Retweet (native),4.00,12.00
22/02/2018 00:59:37,@trev_barry,Trevor Franklin,"RT @MSUCapGreen: We're so excited to share our ICCA set this Saturday! Special thanks to @selamekscarlett, @brody_chris for all of your hel…",https://twitter.com/trev_barry/status/966477542260727810,Twitter for Android,Retweet (native),7.00,21.00
21/02/2018 16:37:47,@trev_barry,Trevor Franklin,@Nickkkkowaaasss Is this Matthew??? Lol,https://twitter.com/trev_barry/status/966351254069956608,Twitter for Android,Reply (native),0.00,2.00
21/02/2018 14:25:57,@trev_barry,Trevor Franklin,@KetflixPills_ @GymWankers_ @Nickkkkowaaasss 😗,https://twitter.com/trev_barry/status/966318075506290689,Twitter for Android,Reply (native),0.00,1.00
